id,ticker,signal_type,direction,confidence,price_at_signal,regime,notes,created_at
67,T,PAPER_MEAN_REVERSION,BUY,90.0,24.1450004577637,BULL,"[PAPER SCANNER] At lower BB — strong oversold (0.02) | RSI oversold (31.4) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=90.0 → Final=90.0","2026-05-18 13:45:36"
68,LOW,PAPER_MEAN_REVERSION,BUY,70.0,219.779998779297,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.17) | RSI below midline (37.1) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:37"
69,UNP,PAPER_MOMENTUM,BUY,70.0,271.859985351563,BULL,"[PAPER SCANNER] RSI (65.2) | MACD bullish crossover | Above MA50 (253.11) | Above MA200 (235.65) | Low volume (0.0x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:38"
70,BA,PAPER_MEAN_REVERSION,BUY,70.0,219.259994506836,BULL,"[PAPER SCANNER] At lower BB — strong oversold (0.09) | RSI below midline (43.7) | Below MA20 by 4.4% | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:42"
71,ETN,PAPER_MEAN_REVERSION,BUY,80.0,385.144989013672,BULL,"[PAPER SCANNER] At lower BB — strong oversold (-0.11) | RSI below midline (42.7) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-18 13:45:43"
72,CI,PAPER_MOMENTUM,BUY,65.0,286.024993896484,BULL,"[PAPER SCANNER] RSI neutral (52.0) | MACD above signal | Above MA50 (275.52) | Above MA200 (279.78) | Low volume (0.0x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:50"
73,EQIX,PAPER_MEAN_REVERSION,BUY,65.0,1061.15002441406,BULL,"[PAPER SCANNER] At lower BB — strong oversold (0.09) | RSI neutral (48.8) | Below MA20 by 2.1% | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:50"
74,ANET,PAPER_MEAN_REVERSION,BUY,70.0,139.869995117188,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.19) | RSI below midline (41.0) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:54"
75,EOG,PAPER_MOMENTUM,BUY,65.0,139.860000610352,BULL,"[PAPER SCANNER] RSI neutral (57.7) | MACD above signal | Above MA50 (136.51) | Above MA200 (117.07) | Low volume (0.1x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:55"
76,ASML,MOMENTUM,BUY,75.0,1480.19995117188,BULL,"RSI neutral (50.4) | MACD above signal | Above MA50 (1419.01) | Above MA200 (1156.58) | Low volume (0.4x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+10.0 | Raw=65.0 → Final=75.0","2026-05-18 14:52:24"
